date,ticker,price_open,price_close,price_low,price_high
2023-12-01,BTC-USD,37722.36,38706.55,37621.39,38999.00
2023-12-02,BTC-USD,38706.55,39466.41,38662.31,39720.66
2023-12-03,BTC-USD,39478.95,39984.81,39299.00,40200.00
2023-12-04,BTC-USD,39984.81,41985.36,39984.26,42401.51
2023-12-05,BTC-USD,41987.24,44085.41,41396.91,44493.95
2023-12-06,BTC-USD,44084.39,43765.68,43409.34,44290.37
2023-12-07,BTC-USD,43764.05,43291.70,42861.00,44048.91
2023-12-08,BTC-USD,43291.00,44191.79,43092.67,44754.16
2023-12-09,BTC-USD,44192.86,43723.25,43610.92,44369.99
2023-12-10,BTC-USD,43723.25,43793.60,43587.00,44046.11
2023-12-11,BTC-USD,43792.05,41235.61,40181.94,43809.05
2023-12-12,BTC-USD,41235.61,41469.90,40656.57,42081.08
2023-12-13,BTC-USD,41477.39,42885.36,40613.00,43471.80
2023-12-14,BTC-USD,42885.36,43029.47,41500.00,43423.24
2023-12-15,BTC-USD,43027.77,41934.84,41669.00,43084.81
2023-12-16,BTC-USD,41933.89,42237.29,41639.97,42672.07
2023-12-17,BTC-USD,42237.29,41345.41,41238.00,42365.33
2023-12-18,BTC-USD,41345.41,42651.53,40513.00,42732.00
2023-12-19,BTC-USD,42650.01,42263.15,41799.00,43453.62
2023-12-20,BTC-USD,42266.22,43674.77,42201.82,44301.18
2023-12-21,BTC-USD,43674.77,43875.32,43296.75,44250.00
2023-12-22,BTC-USD,43875.32,44002.70,43422.92,44420.00
2023-12-23,BTC-USD,44002.70,43733.00,43335.32,44023.00
2023-12-24,BTC-USD,43733.00,43029.11,42700.00,43981.11
2023-12-25,BTC-USD,43025.03,43589.67,42766.00,43809.61
2023-12-26,BTC-USD,43589.67,42517.06,41654.10,43604.97
2023-12-27,BTC-USD,42515.53,43473.02,42114.01,43709.98
2023-12-28,BTC-USD,43474.40,42581.22,42272.30,43830.34
2023-12-29,BTC-USD,42581.23,42066.38,41317.23,43137.10
2023-12-30,BTC-USD,42063.45,42141.03,41520.10,42592.52
2023-12-31,BTC-USD,42141.03,42288.06,41976.00,42850.00
2024-01-01,BTC-USD,42288.06,44189.64,42184.06,44199.74
2024-01-02,BTC-USD,44189.64,44969.65,44188.40,45914.24
2024-01-03,BTC-USD,44969.67,42860.51,40850.11,45517.26
2024-01-04,BTC-USD,42862.44,44201.31,42651.78,44795.53
2024-01-05,BTC-USD,44193.29,44186.59,42541.50,44400.43
2024-01-06,BTC-USD,44186.59,44001.27,43436.50,44258.80
2024-01-07,BTC-USD,43992.44,43946.62,43636.00,44500.00
2024-01-08,BTC-USD,43949.71,46995.10,43210.86,47330.00
2024-01-09,BTC-USD,46995.10,46123.61,44863.24,47901.00
2024-01-10,BTC-USD,46124.08,46664.62,44334.09,47728.48
2024-01-11,BTC-USD,46670.94,46342.66,45568.08,49099.81
2024-01-12,BTC-USD,46342.66,42771.38,41488.00,46517.19
2024-01-13,BTC-USD,42771.38,42839.33,42430.00,43246.70
2024-01-14,BTC-USD,42839.33,41696.61,41695.81,43060.00
2024-01-15,BTC-USD,41697.33,42493.61,41680.09,43321.65
2024-01-16,BTC-USD,42490.16,43131.63,42066.43,43567.68
2024-01-17,BTC-USD,43130.45,42737.33,42172.00,43184.88
2024-01-18,BTC-USD,42739.49,41287.16,40601.37,42877.22
2024-01-19,BTC-USD,41293.50,41621.24,40258.00,42156.72
2024-01-20,BTC-USD,41621.24,41668.18,41429.00,41835.90
2024-01-21,BTC-USD,41666.67,41554.05,41475.01,41857.67
2024-01-22,BTC-USD,41554.05,39521.56,39411.38,41654.70
2024-01-23,BTC-USD,39521.56,39869.00,38507.44,40133.00
2024-01-24,BTC-USD,39868.00,40074.00,39394.81,40515.00
2024-01-25,BTC-USD,40074.00,39941.75,39507.35,40278.16
2024-01-26,BTC-USD,39937.77,41813.33,39805.95,42238.66
2024-01-27,BTC-USD,41814.80,42126.61,41398.00,42192.22
2024-01-28,BTC-USD,42126.55,42034.19,41629.00,42824.00
2024-01-29,BTC-USD,42034.19,43302.00,41804.00,43311.90
2024-01-30,BTC-USD,43305.00,42946.00,42689.94,43853.00
2024-01-31,BTC-USD,42946.00,42550.75,42269.55,43741.90
2024-02-01,BTC-USD,42550.75,43071.07,41851.02,43263.00
2024-02-02,BTC-USD,43075.20,43181.66,42527.58,43451.00
2024-02-03,BTC-USD,43181.66,42997.46,42875.00,43352.00
2024-02-04,BTC-USD,42997.46,42570.00,42247.35,43097.00
2024-02-05,BTC-USD,42570.00,42657.67,42244.00,43515.37
2024-02-06,BTC-USD,42657.67,43092.00,42518.53,43362.00
2024-02-07,BTC-USD,43092.00,44342.52,42766.00,44385.00
2024-02-08,BTC-USD,44343.61,45300.21,44335.39,45637.38
2024-02-09,BTC-USD,45305.20,47160.41,45258.12,48207.78
2024-02-10,BTC-USD,47160.41,47767.63,46896.35,48174.96
2024-02-11,BTC-USD,47767.63,48316.30,47590.30,48601.00
2024-02-12,BTC-USD,48316.30,49942.41,47723.42,50337.96
2024-02-13,BTC-USD,49941.81,49728.63,48339.46,50390.20
2024-02-14,BTC-USD,49725.36,51843.88,49255.35,52093.00
2024-02-15,BTC-USD,51844.00,51940.67,51354.73,52866.66
2024-02-16,BTC-USD,51940.67,52162.65,51622.90,52598.30
2024-02-17,BTC-USD,52162.64,51666.22,50653.28,52210.30
2024-02-18,BTC-USD,51666.22,52152.95,51196.00,52389.00
2024-02-19,BTC-USD,52153.63,51784.42,51695.27,52496.00
2024-02-20,BTC-USD,51787.05,52277.53,50770.00,52991.72
2024-02-21,BTC-USD,52277.52,51851.67,50640.26,52383.00
2024-02-22,BTC-USD,51851.67,51261.62,50915.33,52059.19
2024-02-23,BTC-USD,51258.70,50744.69,50524.20,51508.45
2024-02-24,BTC-USD,50744.69,51567.97,50586.00,51683.00
2024-02-25,BTC-USD,51570.65,51730.99,51283.15,51958.00
2024-02-26,BTC-USD,51731.00,54530.17,50912.22,54974.80
2024-02-27,BTC-USD,54533.48,57076.59,54500.01,57615.00
2024-02-28,BTC-USD,57076.59,62513.17,56728.68,64012.43
2024-02-29,BTC-USD,62512.00,61179.59,60385.25,63668.00
2024-03-01,BTC-USD,61179.03,62432.69,60791.19,63257.99
2024-03-02,BTC-USD,62436.72,62045.78,61646.00,62499.94
2024-03-03,BTC-USD,62045.78,63154.49,61400.00,63258.64
2024-03-04,BTC-USD,63154.49,68342.00,62400.00,68577.00
2024-03-05,BTC-USD,68359.00,63798.73,59240.03,69210.00
2024-03-06,BTC-USD,63800.78,66122.28,62836.83,67648.00
2024-03-07,BTC-USD,66122.28,66938.21,65613.00,68085.53
2024-03-08,BTC-USD,66938.21,68286.78,66182.02,70188.17
2024-03-09,BTC-USD,68289.16,68480.01,68050.00,68700.41
2024-03-10,BTC-USD,68480.00,69030.33,68238.37,69999.00
2024-03-11,BTC-USD,69032.12,72112.18,67145.56,72936.66
2024-03-12,BTC-USD,72110.98,71479.03,68647.08,73018.16
2024-03-13,BTC-USD,71475.93,73135.04,71337.30,73679.00
2024-03-14,BTC-USD,73135.04,71361.15,68491.47,73797.68
2024-03-15,BTC-USD,71364.58,69496.84,65600.00,72396.82
2024-03-16,BTC-USD,69501.81,65247.68,64801.00,70050.00
2024-03-17,BTC-USD,65254.68,68350.30,64525.95,68864.00
2024-03-18,BTC-USD,68348.88,67611.56,66570.85,68914.53
2024-03-19,BTC-USD,67613.04,61898.85,61517.00,68125.71
2024-03-20,BTC-USD,61906.27,67854.20,60780.30,68147.00
2024-03-21,BTC-USD,67854.93,65485.00,64533.47,68234.15
2024-03-22,BTC-USD,65485.00,63814.56,62310.52,66639.30
2024-03-23,BTC-USD,63814.56,64001.00,63015.63,66014.85
2024-03-24,BTC-USD,64001.00,67193.90,63804.59,67630.02
2024-03-25,BTC-USD,67193.90,69903.29,66394.50,71258.12
2024-03-26,BTC-USD,69890.36,69997.00,69305.07,71570.00
2024-03-27,BTC-USD,69997.00,69436.50,68374.05,71741.33
2024-03-28,BTC-USD,69435.96,70803.00,68863.00,71587.00
2024-03-29,BTC-USD,70803.00,69903.76,69055.18,70937.01
2024-03-30,BTC-USD,69903.75,69621.00,69572.00,70362.76
2024-03-31,BTC-USD,69626.87,71306.32,69587.86,71391.00
2024-04-01,BTC-USD,71293.97,69683.72,68073.00,71306.80
2024-04-02,BTC-USD,69681.82,65457.60,64564.07,69704.00
2024-04-03,BTC-USD,65461.00,65987.92,64537.77,66937.29
2024-04-04,BTC-USD,65987.92,68524.20,65094.00,69343.17
2024-04-05,BTC-USD,68525.23,67858.49,66000.00,68767.00
2024-04-06,BTC-USD,67856.51,68917.00,67480.36,69680.00
2024-04-07,BTC-USD,68917.00,69358.00,68859.77,70300.00
2024-04-08,BTC-USD,69358.00,71616.31,69073.00,72731.96
2024-04-09,BTC-USD,71622.53,69123.27,68209.90,71748.00
2024-04-10,BTC-USD,69123.27,70636.04,67476.10,71152.13
2024-04-11,BTC-USD,70634.04,70020.83,69548.18,71284.92
2024-04-12,BTC-USD,70020.73,67155.36,65230.00,71236.00
2024-04-13,BTC-USD,67150.00,64007.42,60888.00,67952.39
2024-04-14,BTC-USD,64024.77,65777.05,62161.99,65888.54
2024-04-15,BTC-USD,65777.05,63452.12,62315.08,66920.27
2024-04-16,BTC-USD,63452.18,63820.04,61660.00,64400.00
2024-04-17,BTC-USD,63820.04,61277.20,59666.95,64503.00
2024-04-18,BTC-USD,61279.36,63513.36,60824.79,64202.63
2024-04-19,BTC-USD,63513.85,63848.37,59593.08,65498.53
2024-04-20,BTC-USD,63848.37,64989.26,63127.38,65450.00
2024-04-21,BTC-USD,64989.26,64952.92,64268.00,65714.90
2024-04-22,BTC-USD,64952.92,66855.00,64540.18,67255.00
2024-04-23,BTC-USD,66855.00,66418.01,65840.95,67208.92
2024-04-24,BTC-USD,66414.16,64259.00,63547.99,67061.10
2024-04-25,BTC-USD,64259.00,64489.10,62759.09,65287.69
2024-04-26,BTC-USD,64489.10,63740.48,63295.11,64787.63
2024-04-27,BTC-USD,63740.07,63422.00,62413.00,63900.00
2024-04-28,BTC-USD,63422.00,63108.94,62788.20,64310.00
2024-04-29,BTC-USD,63108.94,63838.00,61767.20,64180.08
2024-04-30,BTC-USD,63844.85,60623.15,59062.94,64711.08
2024-05-01,BTC-USD,60622.10,58265.59,56522.31,60785.30
2024-05-02,BTC-USD,58265.59,59069.93,56906.02,59623.00
2024-05-03,BTC-USD,59070.21,62913.02,58829.00,63339.82
2024-05-04,BTC-USD,62913.03,63899.00,62585.00,64522.00
2024-05-05,BTC-USD,63899.00,64023.45,62926.34,64621.77
2024-05-06,BTC-USD,64023.45,63161.70,62709.11,65499.37
2024-05-07,BTC-USD,63163.49,62314.49,62263.95,64389.00
2024-05-08,BTC-USD,62315.76,61172.10,60866.02,63004.60
2024-05-09,BTC-USD,61172.10,63073.51,60631.43,63415.83
2024-05-10,BTC-USD,63073.57,60791.93,60200.38,63455.00
2024-05-11,BTC-USD,60787.47,60814.63,60460.91,61454.00
2024-05-12,BTC-USD,60814.64,61453.02,60600.00,61843.45
2024-05-13,BTC-USD,61453.02,62932.37,60740.55,63444.00
2024-05-14,BTC-USD,62932.37,61542.86,61099.10,63098.95
2024-05-15,BTC-USD,61539.84,66244.69,61299.57,66472.72
2024-05-16,BTC-USD,66244.68,65246.07,64598.32,66750.10
2024-05-17,BTC-USD,65252.18,67048.40,65113.46,67485.99
2024-05-18,BTC-USD,67048.40,66923.87,66627.98,67390.66
2024-05-19,BTC-USD,66923.87,66261.62,65901.00,67697.19
2024-05-20,BTC-USD,66261.62,71413.12,66060.18,71496.00
2024-05-21,BTC-USD,71413.12,70142.84,69146.01,71969.06
2024-05-22,BTC-USD,70142.84,69109.93,68937.81,70644.00
2024-05-23,BTC-USD,69109.92,67940.45,66259.00,70024.00
2024-05-24,BTC-USD,67940.45,68547.80,66588.32,69261.43
2024-05-25,BTC-USD,68547.80,69288.67,68487.44,69588.30
2024-05-26,BTC-USD,69288.67,68476.40,68132.88,69500.00
2024-05-27,BTC-USD,68476.40,69368.72,68225.00,70601.00
2024-05-28,BTC-USD,69368.72,68321.99,67202.05,69513.00
2024-05-29,BTC-USD,68321.98,67569.45,67093.71,68864.11
2024-05-30,BTC-USD,67569.45,68338.58,67094.71,69524.00
2024-05-31,BTC-USD,68338.58,67472.41,66615.75,69010.00
2024-06-01,BTC-USD,67472.41,67719.29,67379.45,67818.01
2024-06-02,BTC-USD,67719.29,67733.81,67281.00,68405.00
2024-06-03,BTC-USD,67735.52,68791.04,67581.24,70268.00
2024-06-04,BTC-USD,68791.00,70557.83,68542.37,71101.55
2024-06-05,BTC-USD,70557.83,71121.30,70382.78,71777.10
2024-06-06,BTC-USD,71120.81,70773.64,70105.98,71647.31
2024-06-07,BTC-USD,70773.64,69324.52,68326.99,71938.00
2024-06-08,BTC-USD,69324.53,69304.05,69134.80,69538.00
2024-06-09,BTC-USD,69304.05,69637.87,69129.82,69848.94
2024-06-10,BTC-USD,69637.87,69502.40,69172.00,70180.43
2024-06-11,BTC-USD,69501.00,67316.53,66056.00,69547.41
2024-06-12,BTC-USD,67316.53,68248.59,66891.33,70026.82
2024-06-13,BTC-USD,68248.59,66738.85,66220.44,68388.00
2024-06-14,BTC-USD,66738.85,66004.39,65011.14,67322.69
2024-06-15,BTC-USD,66004.39,66192.00,65828.00,66415.00
2024-06-16,BTC-USD,66192.00,66628.76,65999.00,66915.94
2024-06-17,BTC-USD,66628.75,66481.81,65057.00,67269.71
2024-06-18,BTC-USD,66481.81,65150.25,64028.30,66574.33
2024-06-19,BTC-USD,,,,
2024-06-20,BTC-USD,64943.79,64841.47,64518.00,66455.49
2024-06-21,BTC-USD,64840.88,64120.29,63352.16,65017.10
2024-06-22,BTC-USD,64120.28,64235.01,63910.01,64493.50
2024-06-23,BTC-USD,64235.01,63167.94,63143.00,64489.40
2024-06-24,BTC-USD,63171.43,60268.00,58453.03,63340.56
2024-06-25,BTC-USD,60263.00,61791.16,60224.09,62390.73
2024-06-26,BTC-USD,61789.71,60816.67,60666.67,62468.55
2024-06-27,BTC-USD,60816.68,61615.39,60556.19,62340.75
2024-06-28,BTC-USD,61615.39,60313.35,59885.94,62165.68
2024-06-29,BTC-USD,60313.35,60885.67,60273.80,61114.00
2024-06-30,BTC-USD,60885.67,62668.27,60611.01,62929.98
2024-07-01,BTC-USD,62668.26,62830.14,62465.00,63801.26
